College Name,College Code,Category Name,University,District,Zone,Group,Total No of students,1st year
NARASU'S SARATHY INSTITUTE OF TECHNOLOGY,6117,Affilated Non - Autonomous,ANNA UNIVERSITY,SALEM,Zone VII : Dharmapuri,2.0,898,331
P.S.V.COLLEGE OF ENGINEERING AND TECHNOLOGY,6118,Affilated Non - Autonomous,ANNA UNIVERSITY,KRISHNAGIRI,Zone VII : Dharmapuri,2.0,1076,335
SAPTHAGIRI COLLEGE OF ENGINEERING,6120,Affilated Non - Autonomous,ANNA UNIVERSITY,DHARMAPURI,Zone VII : Dharmapuri,2.0,146,0
"Sengunthar College of Engineering, Tiruchengode ",6122,Affilated Non - Autonomous,ANNA UNIVERSITY,NAMAKKAL,Zone XI : Erode,3.0,511,0
SENGUNTHAR ENGINEERING COLLEGE,6123,Affilated Autonomous,ANNA UNIVERSITY,NAMAKKAL,,,1142,343
Shree Sathyam College of Engineering and Technology ,6124,Affilated Non - Autonomous,ANNA UNIVERSITY,SALEM,Zone VIII : Salem,2.0,325,157
THE KAVERY COLLEGE OF ENGINEERING,6126,Affilated Non - Autonomous,ANNA UNIVERSITY,SALEM,Zone VII : Dharmapuri,2.0,145,0
THE KAVERY ENGINEERING COLLEGE,6127,Affilated Non - Autonomous,ANNA UNIVERSITY,SALEM,Zone VII : Dharmapuri,2.0,1703,707
VARUVAN VADIVELAN INSTITUTE OF TECHNOLOGY,6128,Affilated Non - Autonomous,ANNA UNIVERSITY,DHARMAPURI,Zone VII : Dharmapuri,2.0,879,174
Vivekanandha College of Engineering for Women,6129,Affilated Autonomous,ANNA UNIVERSITY,NAMAKKAL,,,2065,0
VIVEKANANDHA COLLEGE OF TECHNOLOGY FOR WOMEN,6130,Affilated Non - Autonomous,ANNA UNIVERSITY,NAMAKKAL,Zone XI : Erode,3.0,1074,310
"Government College of Engineering, Dharmapuri",6135,Government College,ANNA UNIVERSITY,DHARMAPURI,Zone VII : Dharmapuri,2.0,1038,259
"Adhiyamaan College of Engineering (Autonomous), Hosur",6176,Affilated Autonomous,ANNA UNIVERSITY,KRISHNAGIRI,Zone I : Chennai-I,1.0,2258,0
GOVERNMENT COLLEGE OF ENGINEERING - SALEM,6177,Government College,ANNA UNIVERSITY,SALEM,Zone VIII : Salem,2.0,1908,447
SONA COLLEGE OF TECHNOLOGY,6178,Affilated Autonomous,ANNA UNIVERSITY,SALEM,,,3933,294
AVS Engineering College,6201,Affilated Non - Autonomous,ANNA UNIVERSITY,SALEM,Zone VIII : Salem,2.0,1791,567
Annai mathammal sheela Engineering college ,6202,Affilated Non - Autonomous,ANNA UNIVERSITY,NAMAKKAL,Zone VIII : Salem,2.0,713,171
Bharathiyar Institute of engineering for women,6203,Affilated Non - Autonomous,ANNA UNIVERSITY,SALEM,Zone VIII : Salem,2.0,760,277
CMS COLLEGE OF ENGINEERING ,6205,Affilated Non - Autonomous,ANNA UNIVERSITY,NAMAKKAL,Zone VIII : Salem,2.0,324,218
Ganesh College of Engineering,6206,Affilated Non - Autonomous,ANNA UNIVERSITY,SALEM,Zone VIII : Salem,2.0,757,311
GNANAMANI COLLEGE OF ENGINEERING,6207,Affilated Non - Autonomous,ANNA UNIVERSITY,NAMAKKAL,Zone VIII : Salem,2.0,0,0
GNANAMANI COLLEGE OF TECHNOLOGY,6208,Affilated Non - Autonomous,ANNA UNIVERSITY,NAMAKKAL,Zone VIII : Salem,2.0,3069,1250
Idhaya Engineering College for Women,6211,Affilated Non - Autonomous,ANNA UNIVERSITY,KALLAKURICHI,Zone XXI : Villupuram,5.0,335,145
Kongunadu College of Engineering and Technology ,6213,Affilated Autonomous,ANNA UNIVERSITY,TIRUCHIRAPPALLI,,,2584,732
MAHA BARATHI ENGINEERING COLLEGE,6214,Affilated Non - Autonomous,ANNA UNIVERSITY,KALLAKURICHI,Zone XXI : Villupuram,5.0,789,228
MAHENDRA COLLEGE OF ENGINEERING,6215,Affilated Non - Autonomous,ANNA UNIVERSITY,SALEM,Zone VIII : Salem,2.0,1346,533
MUTHAYAMMAL ENGINEERING COLLEGE,6216,Affilated Autonomous,ANNA UNIVERSITY,NAMAKKAL,,,3646,913
Muthayammal College of Engineering,6217,Affilated Non - Autonomous,ANNA UNIVERSITY,NAMAKKAL,Zone VIII : Salem,2.0,826,217
PGP COLLEGE OF ENGINEERING AND TECHNOLOGY ,6218,Affilated Non - Autonomous,ANNA UNIVERSITY,NAMAKKAL,Zone VIII : Salem,2.0,359,166
PAAVAI COLLEGE OF ENGINEERING,6220,Affilated Non - Autonomous,ANNA UNIVERSITY,NAMAKKAL,Zone VIII : Salem,2.0,1012,363
PAAVAI ENGINEERING COLLEGE,6221,Affilated Autonomous,ANNA UNIVERSITY,NAMAKKAL,,,3974,1303
PAVAI COLLEGE OF TECHNOLOGY,6222,Affilated Non - Autonomous,ANNA UNIVERSITY,NAMAKKAL,Zone VIII : Salem,2.0,349,0
SALEM COLLEGE OF ENGINEERING AND TECHNOLOGY,6224,Affilated Non - Autonomous,ANNA UNIVERSITY,SALEM,Zone VIII : Salem,2.0,1226,351
SELVAM COLLEGE OF TECHNOLOGY,6225,Affilated Non - Autonomous,ANNA UNIVERSITY,NAMAKKAL,Zone VIII : Salem,2.0,1074,403
SHREENIVASA ENGINEERING COLLEGE,6226,Affilated Non - Autonomous,ANNA UNIVERSITY,DHARMAPURI,Zone VII : Dharmapuri,2.0,674,207
SRG ENGINEERING COLLEGE ,6227,Affilated Non - Autonomous,ANNA UNIVERSITY,NAMAKKAL,Zone VIII : Salem,2.0,464,70
T.S.M. JAIN COLLEGE OF TECHNOLOGY,6229,Affilated Non - Autonomous,ANNA UNIVERSITY,KALLAKURICHI,Zone XXI : Villupuram,5.0,550,9
Tagore Institute of Engineering and Technology ,6230,Affilated Non - Autonomous,ANNA UNIVERSITY,SALEM,Zone VIII : Salem,2.0,809,289
VSA GROUP OF INSTITUTIONS,6231,Affilated Non - Autonomous,ANNA UNIVERSITY,SALEM,Zone VIII : Salem,2.0,453,98
VETRI VINAYAHA COLLEGE OF ENGINEERING AND TECHNOLOGY,6233,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUCHIRAPPALLI,Zone VIII : Salem,2.0,251,114
AVS COLLEGE OF TECHNOLOGY,6235,Affilated Non - Autonomous,ANNA UNIVERSITY,SALEM,Zone VIII : Salem,2.0,1033,355
INDIAN INSTITUTE OF HANDLOOM TECHNOLOGY,6236,Affilated Non - Autonomous,ANNA UNIVERSITY,SALEM,Zone VIII : Salem,2.0,178,24
"Anna University, Regional Campus Coimbatore",7100,University Regional Campus,ANNA UNIVERSITY,COIMBATORE,Zone IX : Coimbatore - I,3.0,927,245
ADITHYA INSTITUTE OF TECHNOLOGY,7101,Affilated Non - Autonomous,ANNA UNIVERSITY,COIMBATORE,Zone IX : Coimbatore - I,3.0,718,246
ANGEL COLLEGE OF ENGINEERING AND TECHNOLOGY,7103,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUPPUR,Zone IX : Coimbatore - I,3.0,564,104
CHRIST THE KING ENGINEERING COLLEGE,7104,Affilated Non - Autonomous,ANNA UNIVERSITY,COIMBATORE,Zone IX : Coimbatore - I,3.0,754,241
COIMBATORE INSTITUTE OF ENGINEERING AND TECHNOLOGY,7105,Affilated Autonomous,ANNA UNIVERSITY,COIMBATORE,,,988,323
CSI COLLEGE OF ENGINEERING,7106,Affilated Non - Autonomous,ANNA UNIVERSITY,THE NILGIRIS,Zone IX : Coimbatore - I,3.0,542,167
"Dr.N.G.P Institute of Technology,  Coimbatore ",7107,Affilated Non - Autonomous,ANNA UNIVERSITY,COIMBATORE,Zone IX : Coimbatore - I,3.0,1572,0
INFO INSTITUTE OF ENGINEERING,7110,Affilated Non - Autonomous,ANNA UNIVERSITY,COIMBATORE,Zone IX : Coimbatore - I,3.0,331,141
Jansons Institute of Technology,7111,Affilated Non - Autonomous,ANNA UNIVERSITY,COIMBATORE,Zone IX : Coimbatore - I,3.0,1008,266
JAI SHRIRAM ENGINEERING COLLEGE,7112,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUPPUR,Zone IX : Coimbatore - I,3.0,881,300
K P R INSTITUTE OF ENGINEERING AND TECHNOLOGY,7113,Affilated Autonomous,ANNA UNIVERSITY,COIMBATORE,,,2664,0
KALAIGNAR KARUNANIDHI INSTITUTE OF TECHNOLOGY,7115,Affilated Autonomous,ANNA UNIVERSITY,COIMBATORE,,,2554,660
KATHIR COLLEGE OF ENGINEERING,7116,Affilated Non - Autonomous,ANNA UNIVERSITY,COIMBATORE,Zone IX : Coimbatore - I,3.0,752,222
KGISL INSTITUTE OF TECHNOLOGY,7117,Affilated Non - Autonomous,ANNA UNIVERSITY,COIMBATORE,Zone IX : Coimbatore - I,3.0,1781,546
MCGAN'S OOTY SCHOOL OF ARCHITECTURE,7121,Architecture,ANNA UNIVERSITY,THE NILGIRIS,Zone IX : Coimbatore - I,3.0,143,23
PARK COLLEGE OF ENGINEERING AND TECHNOLOGY,7122,Affilated Non - Autonomous,ANNA UNIVERSITY,COIMBATORE,Zone IX : Coimbatore - I,3.0,848,173
PARK COLLEGE OF TECHNOLOGY,7123,Affilated Non - Autonomous,ANNA UNIVERSITY,COIMBATORE,Zone IX : Coimbatore - I,3.0,77,28
PPG INSTITUTE OF TECHNOLOGY ,7125,Affilated Non - Autonomous,ANNA UNIVERSITY,COIMBATORE,Zone IX : Coimbatore - I,3.0,689,236
R V S COLLEGE OF ENGINEERING AND TECHNOLOGY,7128,Affilated Non - Autonomous,ANNA UNIVERSITY,COIMBATORE,Zone IX : Coimbatore - I,3.0,945,272
RVS TECHNICAL CAMPUS-COIMBATORE,7129,Affilated Non - Autonomous,ANNA UNIVERSITY,COIMBATORE,Zone IX : Coimbatore - I,3.0,946,242
RANGANATHAN ARCHITECTURE COLLEGE,7130,Architecture,ANNA UNIVERSITY,COIMBATORE,Zone IX : Coimbatore - I,3.0,69,0
SRI SAI RANGANATHAN ENGINEERING COLLEGE,7131,Affilated Non - Autonomous,ANNA UNIVERSITY,COIMBATORE,Zone IX : Coimbatore - I,3.0,439,109
S N S COLLEGE OF ENGINEERING,7133,Affilated Autonomous,ANNA UNIVERSITY,COIMBATORE,,,1320,0
SNS COLLEGE OF TECHNOLOGY,7135,Affilated Autonomous,ANNA UNIVERSITY,COIMBATORE,,,3729,863
SREE SAKTHI ENGINEERING COLLEGE,7136,Affilated Non - Autonomous,ANNA UNIVERSITY,COIMBATORE,Zone IX : Coimbatore - I,3.0,739,190
SRI RAMAKRISHNA INSTITUTE OF TECHNOLOGY,7138,Affilated Autonomous,ANNA UNIVERSITY,COIMBATORE,,,1098,1
SRI RANGANATHAR INSTITUTE OF ENGINEERING & TECHNOLOGY,7139,Affilated Non - Autonomous,ANNA UNIVERSITY,COIMBATORE,Zone IX : Coimbatore - I,3.0,788,178
SRI SHAKTHI INSTITUTE OF ENGINEERING AND TECHNOLOGY,7140,Affilated Autonomous,ANNA UNIVERSITY,COIMBATORE,,,2081,0
Tamilnadu College of Engineering ,7142,Affilated Non - Autonomous,ANNA UNIVERSITY,COIMBATORE,Zone IX : Coimbatore - I,3.0,573,186
TAMILNADU SCHOOL OF ARCHITECTURE,7143,Architecture,ANNA UNIVERSITY,COIMBATORE,Zone IX : Coimbatore - I,3.0,45,4
UNITED INSTITUTE OF TECHNOLOGY,7145,Affilated Non - Autonomous,ANNA UNIVERSITY,COIMBATORE,Zone IX : Coimbatore - I,3.0,585,269
Rvs School of Architecture,7147,Architecture,ANNA UNIVERSITY,COIMBATORE,Zone IX : Coimbatore - I,3.0,8,3
"SCHOOL OF ARCHITECTURE,C.I.E.T",7149,Architecture,ANNA UNIVERSITY,COIMBATORE,Zone IX : Coimbatore - I,3.0,50,7
SUGUNA COLLEGE OF ENGINEERING,7150,Affilated Non - Autonomous,ANNA UNIVERSITY,COIMBATORE,Zone IX : Coimbatore - I,3.0,597,237
Asian College of Engineering and Technology ,7153,Affilated Non - Autonomous,ANNA UNIVERSITY,COIMBATORE,Zone IX : Coimbatore - I,3.0,916,254
PSG Institute of Technology and Applied Research ,7155,Affilated Non - Autonomous,ANNA UNIVERSITY,COIMBATORE,Zone IX : Coimbatore - I,3.0,1424,446
TIPS SCHOOL OF ARCHITECTURE,7157,Architecture,ANNA UNIVERSITY,COIMBATORE,Zone IX : Coimbatore - I,3.0,57,9
COIMBATORE INSTITUTE OF TECHNOLOGY,7176,Govt. Aided,ANNA UNIVERSITY,COIMBATORE,Zone X : Coimbatore - II,3.0,2211,0
"GOVERNMENT COLLEGE OF TECHNOLOGY, COIMBATORE",7177,Government College,ANNA UNIVERSITY,COIMBATORE,Zone IX : Coimbatore - I,3.0,2886,670
KARPAGAM COLLEGE OF ENGINEERING,7178,Affilated Autonomous,ANNA UNIVERSITY,COIMBATORE,,,2921,0
KUMARAGURU COLLEGE OF TECHNOLOGY,7179,Affilated Autonomous,ANNA UNIVERSITY,COIMBATORE,,,3807,0
P.S.G. COLLEGE OF TECHNOLOGY,7180,Govt. Aided,ANNA UNIVERSITY,COIMBATORE,Zone X : Coimbatore - II,3.0,4390,0
SRI RAMAKRISHNA ENGINEERING COLLEGE,7181,Affilated Autonomous,ANNA UNIVERSITY,COIMBATORE,,,3101,0
Akshaya college of engineering and technology,7203,Affilated Non - Autonomous,ANNA UNIVERSITY,COIMBATORE,Zone X : Coimbatore - II,3.0,702,239
CMS College of Engineeering and Technology,7204,Affilated Non - Autonomous,ANNA UNIVERSITY,COIMBATORE,Zone X : Coimbatore - II,3.0,569,177
EASA College of Engg and Technology,7205,Affilated Non - Autonomous,ANNA UNIVERSITY,COIMBATORE,Zone X : Coimbatore - II,3.0,742,332
HINDUSTHAN COLLEGE OF ENGINEERING AND TECHNOLOGY,7207,Affilated Autonomous,ANNA UNIVERSITY,COIMBATORE,,,5052,1201
Hindusthan Institute of Technology,7208,Affilated Autonomous,ANNA UNIVERSITY,COIMBATORE,,,1520,2
JCT College of Engineering and Technology,7209,Affilated Non - Autonomous,ANNA UNIVERSITY,COIMBATORE,Zone X : Coimbatore - II,3.0,1554,458
Nehru Institute of Technology,7210,Affilated Non - Autonomous,ANNA UNIVERSITY,COIMBATORE,Zone X : Coimbatore - II,3.0,743,255
"STUDY WORLD COLLEGE OF ENGINEERING, COIMBATORE",7211,Affilated Non - Autonomous,ANNA UNIVERSITY,COIMBATORE,Zone X : Coimbatore - II,3.0,457,112
KARPAGAM INSTITUTE OF TECHNOLOGY,7212,Affilated Non - Autonomous,ANNA UNIVERSITY,COIMBATORE,Zone X : Coimbatore - II,3.0,1472,429
NEHRU INSTITUTE OF ENGINEERING AND TECHNOLOGY,7214,Affilated Non - Autonomous,ANNA UNIVERSITY,COIMBATORE,Zone X : Coimbatore - II,3.0,1866,630
P A COLLEGE OF ENGINEERING AND TECHNOLOGY,7217,Affilated Autonomous,ANNA UNIVERSITY,COIMBATORE,,,762,0
RATHINAM TECHNICAL CAMPUS,7218,Affilated Non - Autonomous,ANNA UNIVERSITY,COIMBATORE,Zone X : Coimbatore - II,3.0,844,0
DHANALAKSHMI SRINIVASAN COLLEGE OF ENGINEERING,7219,Affilated Non - Autonomous,ANNA UNIVERSITY,COIMBATORE,Zone X : Coimbatore - II,3.0,2365,774
SVS School of Architecture,7221,Architecture,ANNA UNIVERSITY,COIMBATORE,Zone X : Coimbatore - II,3.0,49,0
SRI ESHWAR COLLEGE OF ENGINEERING,7228,Affilated Autonomous,ANNA UNIVERSITY,COIMBATORE,,,1878,0
"Pollachi institute of engineering and technology, pollachi",7236,Affilated Non - Autonomous,ANNA UNIVERSITY,COIMBATORE,Zone X : Coimbatore - II,3.0,464,83
V.S.B. COLLEGE OF ENGINEERING TECHNICAL CAMPUS,7237,Affilated Non - Autonomous,ANNA UNIVERSITY,COIMBATORE,Zone X : Coimbatore - II,3.0,1298,475
SASI CREATIVE SCHOOL OF ARCHITECTURE,7238,Architecture,ANNA UNIVERSITY,COIMBATORE,Zone X : Coimbatore - II,3.0,168,47
"Arjun College of Technology , Coimbatore ",7239,Affilated Non - Autonomous,ANNA UNIVERSITY,COIMBATORE,Zone X : Coimbatore - II,3.0,563,112
"DHAANISH AHMED INSTITUTE OF TECHNOLOGY,COIMBATORE",7240,Affilated Non - Autonomous,ANNA UNIVERSITY,COIMBATORE,Zone X : Coimbatore - II,3.0,632,209
HINDUSTHAN SCHOOL OF ARCHITECTURE,7243,Architecture,ANNA UNIVERSITY,COIMBATORE,Zone X : Coimbatore - II,3.0,146,40
Nehru School of Architecture,7244,Architecture,ANNA UNIVERSITY,COIMBATORE,Zone X : Coimbatore - II,3.0,50,9
San Academy of Architecture,7245,Architecture,ANNA UNIVERSITY,COIMBATORE,Zone X : Coimbatore - II,3.0,79,0
Rathinam School of Architecture,7246,Architecture,ANNA UNIVERSITY,COIMBATORE,Zone X : Coimbatore - II,3.0,75,0
Dr.Mahalingam College of Engineering and Technology,7276,Affilated Autonomous,ANNA UNIVERSITY,COIMBATORE,,,2478,0
Sri Krishna college of Engineering and Technology ,7277,Affilated Autonomous,ANNA UNIVERSITY,COIMBATORE,,,6824,0
SRI KRISHNA COLLEGE OF TECHNOLOGY,7278,Affilated Autonomous,ANNA UNIVERSITY,COIMBATORE,,,2423,0
AISHWARYA COLLEGE OF ENGINEERING AND TECHNOLOGY,7301,Affilated Non - Autonomous,ANNA UNIVERSITY,ERODE,Zone XI : Erode,3.0,138,7
Al ameen Engineering College (Autonomous),7302,Affilated Autonomous,ANNA UNIVERSITY,ERODE,,,778,159
Builders Engineering College,7303,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUPPUR,Zone XI : Erode,3.0,954,295
ERODE SENGUNTHAR ENGINEERING COLLEGE,7304,Affilated Autonomous,ANNA UNIVERSITY,ERODE,,,4214,1023
EXCEL COLLEGE OF ARCHITECTURE AND PLANNING,7306,Architecture,ANNA UNIVERSITY,NAMAKKAL,Zone XI : Erode,3.0,88,0
Excel college of Engineering and Technology ,7307,Affilated Non - Autonomous,ANNA UNIVERSITY,NAMAKKAL,Zone XI : Erode,3.0,165,0
EXCEL ENGINEERING COLLEGE,7309,Affilated Autonomous,ANNA UNIVERSITY,NAMAKKAL,,,3413,1085
Government College of Engineering  Erode,7311,Government College,ANNA UNIVERSITY,ERODE,Zone XI : Erode,3.0,1453,378
JKK MUNIRAJAH COLLEGE OF TECHNOLOGY ,7312,Affilated Non - Autonomous,ANNA UNIVERSITY,ERODE,Zone XI : Erode,3.0,464,175
J. K. K. NATARAJA COLLEGE OF ENGINEERING AND TECHNOLOGY ,7313,Affilated Non - Autonomous,ANNA UNIVERSITY,NAMAKKAL,Zone XI : Erode,3.0,514,137
K.S.R. COLLEGE OF ENGINEERING,7315,Affilated Autonomous,ANNA UNIVERSITY,NAMAKKAL,,,2102,420
K S R INSTITUTE FOR ENGINEERING AND TECHNOLOGY,7316,Affilated Non - Autonomous,ANNA UNIVERSITY,NAMAKKAL,Zone XI : Erode,3.0,1341,435
M.P. NACHIMUTHU M. JAGANATHAN ENGINEERING COLLEGE,7317,Affilated Non - Autonomous,ANNA UNIVERSITY,ERODE,Zone XI : Erode,3.0,536,197
Nandha College of Technology,7321,Affilated Non - Autonomous,ANNA UNIVERSITY,ERODE,Zone XI : Erode,3.0,906,276
NANDHA ENGINEERING COLLEGE,7322,Affilated Autonomous,ANNA UNIVERSITY,ERODE,,,2845,744
S.S.M. COLLEGE OF ENGINEERING,7323,Affilated Non - Autonomous,ANNA UNIVERSITY,NAMAKKAL,Zone XI : Erode,3.0,1148,184
SASURIE COLLEGE OF ENGINEERING ,7324,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUPPUR,Zone XI : Erode,3.0,173,80
SHREE VENKATESHWARA HI-TECH ENGINEERING COLLEGE,7325,Affilated Non - Autonomous,ANNA UNIVERSITY,ERODE,Zone XI : Erode,3.0,997,264
Sri shanmugha college of engineering and technology,7327,Affilated Non - Autonomous,ANNA UNIVERSITY,SALEM,Zone XI : Erode,3.0,973,362
Surya Engineering College ,7328,Affilated Non - Autonomous,ANNA UNIVERSITY,ERODE,Zone XI : Erode,3.0,775,76
VELALAR COLLEGE OF ENGINEERING AND TECHNOLOGY,7329,Affilated Autonomous,ANNA UNIVERSITY,ERODE,,,2168,2
VIDYAA VIKAS COLLEGE OF ENGINEERING AND TECHNOLOGY,7331,Affilated Non - Autonomous,ANNA UNIVERSITY,NAMAKKAL,Zone XI : Erode,3.0,453,108
JAIRUPAA COLLEGE OF ENGINEERING,7333,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUPPUR,Zone XI : Erode,3.0,120,4
KONGU SCHOOL OF ARCHITECTURE,7334,Architecture,ANNA UNIVERSITY,ERODE,Zone XI : Erode,3.0,85,25
BANNARI AMMAN INSTITUTE OF TECHNOLOGY,7376,Affilated Autonomous,ANNA UNIVERSITY,ERODE,,,5320,0
K.S.RANGASAMY COLLEGE OF TECHNOLOGY,7377,Affilated Autonomous,ANNA UNIVERSITY,NAMAKKAL,,,2487,0
KONGU ENGINEERING COLLEGE,7378,Affilated Autonomous,ANNA UNIVERSITY,ERODE,Zone XI : Erode,3.0,4943,120
"University College of Engineering, BIT Campus, Trichy",8100,University Constituent Colleges,ANNA UNIVERSITY,TIRUCHIRAPPALLI,Zone XVIII : Trichy,5.0,3610,801
C.A.R.E. SCHOOL OF ARCHITECTURE,8101,Architecture,ANNA UNIVERSITY,TIRUCHIRAPPALLI,Zone XVIII : Trichy,5.0,196,0
Dhanalakshmi Srinivasan Engineering College ,8104,Affilated Autonomous,ANNA UNIVERSITY,PERAMBALUR,,,6880,1192
DR.NAVALAR NEDUNCHEZHIYAN COLLEGE OF ENGINEERING,8106,Affilated Non - Autonomous,ANNA UNIVERSITY,CUDDALORE,Zone XII : Ariyalur,3.0,315,59
CARE College of Engineering,8107,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUCHIRAPPALLI,Zone XVIII : Trichy,5.0,615,267
IMAYAM COLLEGE OF ENGINEERING,8110,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUCHIRAPPALLI,Zone XVIII : Trichy,5.0,279,99
INDRA GANESAN COLLEGE OF ENGINEERING,8112,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUCHIRAPPALLI,Zone XVIII : Trichy,5.0,627,249
J.J.College Of Engineering and Technology,8113,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUCHIRAPPALLI,Zone XVIII : Trichy,5.0,1068,496
JAYARAM COLLEGE OF ENGINEERING AND TECHNOLOGY,8114,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUCHIRAPPALLI,Zone XVIII : Trichy,5.0,315,9
K. RAMAKRISHNAN COLLEGE OF ENGINEERING,8115,Affilated Autonomous,ANNA UNIVERSITY,TIRUCHIRAPPALLI,,,1787,0
K.Ramakrishnan College of Technology,8117,Affilated Autonomous,ANNA UNIVERSITY,TIRUCHIRAPPALLI,,,2027,582
KURINJI COLLEGE OF ENGINEERING AND TECHNOLOGY,8118,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUCHIRAPPALLI,Zone XVIII : Trichy,5.0,134,11
M.A.M. COLLEGE OF ENGINEERING AND TECHNOLOGY,8120,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUCHIRAPPALLI,Zone XII : Ariyalur,3.0,1020,358
M.A.M. SCHOOL OF ENGINEERING,8121,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUCHIRAPPALLI,Zone XII : Ariyalur,3.0,872,284
M.I.E.T. ENGINEERING COLLEGE,8124,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUCHIRAPPALLI,Zone XVIII : Trichy,5.0,1357,355
MAHALAKSHMI ENGINEERING COLLEGE,8125,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUCHIRAPPALLI,Zone XVIII : Trichy,5.0,249,29
M.A.M College of Engineering,8126,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUCHIRAPPALLI,Zone XII : Ariyalur,3.0,1380,513
MEENAKSHI RAMASWAMY ENGINEERING COLLEGE,8127,Affilated Non - Autonomous,ANNA UNIVERSITY,ARIYALUR,Zone XII : Ariyalur,3.0,852,146
MOOKAMBIGAI COLLEGE OF ENGINEERING,8128,Affilated Non - Autonomous,ANNA UNIVERSITY,PUDUKKOTTAI,Zone XVIII : Trichy,5.0,990,262
"OASYS Institute of Technology, Trichy",8129,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUCHIRAPPALLI,Zone XVIII : Trichy,5.0,378,107
OXFORD ENGINEERING COLLEGE,8130,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUCHIRAPPALLI,Zone XVIII : Trichy,5.0,873,119
Pavendar Bharathidasan College of Engineering and Technology,8131,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUCHIRAPPALLI,Zone XVIII : Trichy,5.0,516,209
ROEVER ENGINEERING COLLEGE,8135,Affilated Non - Autonomous,ANNA UNIVERSITY,PERAMBALUR,Zone XII : Ariyalur,3.0,1076,348
SARANATHAN COLLEGE OF ENGINEERING,8138,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUCHIRAPPALLI,Zone XVIII : Trichy,5.0,2389,684
SHIVANI ENGINEERING COLLEGE,8139,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUCHIRAPPALLI,Zone XVIII : Trichy,5.0,276,190
SHRI ANGALA AMMAN COLLEGE OF ENGINEERING AND TECHNOLOGY,8142,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUCHIRAPPALLI,Zone XII : Ariyalur,3.0,51,0
"Sudharsan Engineering College,Pudukkottai",8144,Affilated Non - Autonomous,ANNA UNIVERSITY,PUDUKKOTTAI,Zone XVIII : Trichy,5.0,358,97
TRICHY ENGINEERING COLLEGE,8146,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUCHIRAPPALLI,Zone XII : Ariyalur,3.0,474,79
SRM TRP ENGINEERING COLLEGE,8147,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUCHIRAPPALLI,Zone XII : Ariyalur,3.0,1462,538
